course,exam_score,exam_difficulty,count(*)
bba,74.9,moderate,1
b.com,74.8,moderate,1
b.com,74.8,hard,1
bca,74.8,easy,1
b.tech,74.5,moderate,1
diploma,74.4,moderate,1
bca,74.3,easy,1
ba,74.3,moderate,1
b.sc,74.2,hard,1
ba,74.1,hard,1
b.tech,74,moderate,1
diploma,73.9,moderate,1
bca,73.7,moderate,1
b.sc,73.7,easy,1
b.com,73.6,moderate,1
b.com,73.6,hard,1
b.sc,73.1,easy,1
b.tech,73,easy,1
ba,72.9,easy,1
bba,72.7,moderate,1
b.tech,72.7,moderate,1
b.com,72.6,easy,1
b.com,72.6,moderate,1
bca,72.5,moderate,1
ba,72.4,hard,1
b.tech,72.2,moderate,1
bca,72.2,moderate,1
bba,72.2,moderate,1
diploma,71.9,moderate,1
ba,71.9,hard,1
b.sc,71.8,moderate,1
bca,71.6,easy,1
bba,71.5,hard,1
bca,71.4,easy,1
bba,71.3,moderate,1
ba,71.1,hard,1
b.tech,71.1,hard,1
bba,71,moderate,1
b.com,71,easy,1
b.tech,70.9,easy,1
diploma,70.8,moderate,1
b.com,70.7,easy,1
b.com,70.6,easy,2
ba,70.6,hard,1
b.sc,70.5,moderate,1
diploma,70.5,easy,1
b.sc,70.3,moderate,1
b.com,70.3,hard,1
bca,70.2,easy,1
b.com,70.1,hard,1
ba,69.9,easy,1
bba,69.9,moderate,1
diploma,69.9,easy,1
diploma,69.8,hard,1
bca,69.7,moderate,1
b.com,69.6,moderate,1
diploma,69.6,moderate,1
bba,69.5,hard,1
b.sc,69.5,moderate,1
bba,69.5,easy,1
diploma,69.4,hard,1
b.com,69.4,easy,1
b.sc,69.1,moderate,1
bba,69.1,easy,1
bba,68.9,moderate,1
b.sc,68.8,hard,1
ba,68.6,moderate,1
b.sc,68.4,moderate,1
bca,68.4,easy,1
ba,68.1,easy,1
bca,68.1,moderate,1
b.tech,67.9,moderate,1
b.tech,67.9,easy,1
diploma,67.9,easy,1
b.sc,67.7,easy,1
diploma,67.6,moderate,1
bca,67.6,easy,1
diploma,67.6,easy,1
ba,67.4,moderate,1
b.sc,67.2,moderate,1
diploma,67.1,easy,1
bca,67,hard,1
bba,67,easy,1
diploma,67,easy,1
b.sc,67,moderate,1
bba,66.9,moderate,1
b.com,66.9,hard,1
diploma,66.8,moderate,1
b.com,66.7,moderate,1
bba,66.7,easy,1
b.com,66.6,moderate,1
b.tech,66.6,moderate,1
b.com,66.5,easy,1
b.sc,66.3,moderate,1
bba,66.1,hard,1
b.tech,66.1,easy,1
bba,65.9,easy,1
bca,65.9,easy,1
b.tech,65.9,moderate,1
bba,65.8,easy,1
bba,65.8,hard,1
bca,65.8,easy,1
b.tech,65.8,moderate,1
bca,65.6,moderate,1
bba,65.6,easy,1
bca,65.4,easy,1
bba,65.4,moderate,1
b.tech,65.3,easy,1
bca,65,moderate,1
b.tech,64.9,moderate,1
bba,64.9,moderate,1
b.sc,64.7,moderate,1
bca,64.7,easy,2
b.com,64.6,easy,1
diploma,64.6,moderate,1
b.com,64,easy,1
ba,63.9,hard,1
bca,63.9,moderate,1
b.sc,63.8,moderate,1
ba,63.8,moderate,1
ba,63.5,moderate,1
ba,63.2,easy,1
diploma,62.8,easy,1
b.tech,62.7,easy,1
bba,62.6,moderate,1
bca,62.6,easy,1
diploma,62.4,easy,1
bca,62.2,moderate,1
b.sc,62.1,easy,1
b.sc,62,moderate,1
b.com,62,hard,1
bba,61.9,moderate,1
bca,61.9,moderate,1
b.com,61.6,moderate,1
b.sc,61.6,moderate,1
diploma,61.6,hard,1
ba,61.5,easy,1
b.sc,61.4,easy,1
bca,61.3,hard,1
bca,61.2,moderate,1
bca,61.1,moderate,1
b.sc,61,moderate,1
diploma,60.9,easy,1
bba,60.8,moderate,1
bca,60.8,moderate,1
bca,60.5,hard,1
b.tech,60.4,moderate,1
b.sc,60.4,hard,1
ba,60.3,easy,1
bca,60.2,easy,1
b.com,59.9,moderate,1
b.tech,59.8,moderate,1
ba,59.7,hard,1
bba,59.6,moderate,1
b.com,59.5,moderate,1
bba,59.4,moderate,1
ba,59.2,hard,1
bca,59.1,hard,1
b.tech,59.1,moderate,1
b.com,59,moderate,1
diploma,58.9,hard,1
b.tech,58.9,easy,1
bba,58.3,hard,1
b.tech,58.2,moderate,1
ba,58.2,easy,1
bba,57.9,moderate,1
bca,57.8,easy,1
b.com,57.7,easy,1
ba,57.6,easy,1
b.sc,57.6,moderate,1
bca,57.5,easy,1
b.com,57.5,hard,1
b.tech,57.4,moderate,1
b.com,57.3,moderate,1
bca,57.3,moderate,1
bca,57.2,moderate,1
b.tech,57.2,moderate,1
bba,57.2,easy,1
bba,57,easy,1
b.tech,57,moderate,1
bca,57,easy,1
b.tech,56.9,easy,1
b.sc,56.6,moderate,1
bca,56.6,moderate,1
ba,56.6,moderate,1
b.com,56.6,hard,1
b.tech,56.5,hard,1
bca,56.4,moderate,1
diploma,56.4,easy,1
b.sc,56.2,moderate,1
diploma,56.1,hard,1
diploma,55.9,hard,1
b.com,55.9,easy,1
bca,55.9,moderate,1
b.sc,55.4,moderate,1
diploma,55.4,hard,1
bca,55.2,easy,1
b.com,55,easy,1
bca,54.8,moderate,1
ba,54.6,easy,1
b.tech,54.5,moderate,1
b.tech,54.5,easy,1
b.sc,54.4,moderate,1
bba,54.3,moderate,1
b.com,54,moderate,1
diploma,54,moderate,2
b.tech,53.7,hard,1
b.com,53.7,easy,1
b.sc,53.6,easy,1
b.tech,53.6,easy,1
b.com,53.5,easy,1
b.com,53.5,moderate,1
b.tech,53.5,easy,1
diploma,53.3,hard,1
bca,53.3,easy,1
diploma,53.2,moderate,1
b.sc,53.2,moderate,1
b.tech,53.1,moderate,1
b.sc,53.1,moderate,1
bba,52.8,easy,1
b.tech,52.8,moderate,1
ba,52.6,moderate,1
bca,52.4,moderate,1
bca,52.3,hard,1
diploma,52.2,moderate,2
ba,52.1,easy,1
b.com,52.1,hard,1
bca,52,hard,1
b.tech,51.9,hard,1
bba,51.8,easy,1
diploma,51.5,moderate,1
bba,51.3,easy,1
bca,51.3,hard,1
bca,51.1,hard,1
diploma,51,moderate,1
b.tech,50.8,easy,1
bca,50.7,easy,1
bca,50.6,moderate,1
ba,50.6,easy,1
bba,50.5,moderate,1
b.com,50.4,easy,1
ba,50.4,easy,1
bca,50.3,moderate,1
bba,50.1,moderate,1
