age,gender,course,exam_difficulty,study_hours,sleep_hours,sleep_quality,study_method,exam_score
24,male,bba,moderate,1.84,4.9,poor,coaching,74.9
22,male,b.com,moderate,5.92,6.5,poor,self-study,74.8
23,other,b.com,hard,4.19,5.7,average,mixed,74.8
23,male,bca,easy,5.01,4.8,average,mixed,74.8
24,other,b.tech,moderate,6.33,7.6,poor,coaching,74.5
20,male,diploma,moderate,4.72,4.6,good,self-study,74.4
22,other,bca,easy,7.77,7.1,poor,"group study",74.3
24,other,ba,moderate,2.31,5,poor,coaching,74.3
17,other,b.sc,hard,4.45,4.1,good,coaching,74.2
23,male,ba,hard,5.03,6.7,poor,mixed,74.1
24,other,b.tech,moderate,7.74,4.2,good,"online videos",74
19,male,diploma,moderate,5.96,4.8,good,mixed,73.9
18,female,bca,moderate,2.64,7.6,average,coaching,73.7
21,male,b.sc,easy,7.91,7.2,average,"group study",73.7
19,male,b.com,moderate,5.07,5.1,good,"group study",73.6
21,other,b.com,hard,4.88,5.2,poor,"online videos",73.6
19,other,b.sc,easy,7.7,9.5,poor,"online videos",73.1
24,other,b.tech,easy,3.82,4.9,average,coaching,73
23,female,ba,easy,5.73,9.9,average,"online videos",72.9
22,male,bba,moderate,6.38,5.2,poor,mixed,72.7
23,other,b.tech,moderate,5.75,4.1,poor,"online videos",72.7
19,female,b.com,easy,4.49,9,poor,coaching,72.6
21,male,b.com,moderate,7.54,4.4,average,"group study",72.6
21,male,bca,moderate,3.02,8.8,good,"group study",72.5
21,male,ba,hard,6.26,4.6,good,self-study,72.4
20,male,b.tech,moderate,5.42,7.3,good,mixed,72.2
17,female,bca,moderate,4.26,8.2,good,"online videos",72.2
17,female,bba,moderate,3.95,5.1,poor,self-study,72.2
23,female,diploma,moderate,5.25,9.9,poor,coaching,71.9
21,female,ba,hard,5.99,6.1,good,"group study",71.9
17,female,b.sc,moderate,7.11,9.3,poor,self-study,71.8
20,male,bca,easy,5.76,8.2,average,self-study,71.6
24,female,bba,hard,5.24,8.1,poor,"online videos",71.5
17,male,bca,easy,4.32,9.2,average,coaching,71.4
24,female,bba,moderate,4.92,4.8,good,"group study",71.3
21,female,ba,hard,3.95,6.5,poor,"online videos",71.1
23,male,b.tech,hard,6.9,5.2,average,"online videos",71.1
18,male,bba,moderate,6.2,9.6,poor,"online videos",71
20,other,b.com,easy,2.91,5.5,good,self-study,71
17,male,b.tech,easy,6.26,4.4,average,self-study,70.9
23,other,diploma,moderate,5.86,5.8,good,"online videos",70.8
18,other,b.com,easy,4.84,8,average,"online videos",70.7
23,female,b.com,easy,4.51,7.1,good,"group study",70.6
18,male,ba,hard,4.41,6.9,average,"group study",70.6
22,male,b.com,easy,2.55,6.8,good,"online videos",70.6
22,female,b.sc,moderate,2.45,6.9,good,self-study,70.5
18,male,diploma,easy,5.44,8.3,average,coaching,70.5
21,male,b.sc,moderate,1.97,8.3,average,self-study,70.3
20,other,b.com,hard,5.51,7.7,good,self-study,70.3
21,male,bca,easy,5.73,5.1,good,"group study",70.2
17,male,b.com,hard,6.9,9.5,average,coaching,70.1
21,other,ba,easy,3.97,9.5,good,"group study",69.9
19,other,bba,moderate,5.23,5.2,poor,mixed,69.9
18,female,diploma,easy,4.81,5.7,good,mixed,69.9
19,other,diploma,hard,7.76,6.3,poor,"online videos",69.8
22,female,bca,moderate,6.05,4.3,average,"group study",69.7
18,male,b.com,moderate,5.74,4.2,poor,"online videos",69.6
17,other,diploma,moderate,3.8,8.3,poor,"online videos",69.6
20,male,bba,hard,3.73,8.3,good,mixed,69.5
21,other,b.sc,moderate,7.12,4.1,poor,mixed,69.5
19,male,bba,easy,0.74,9.4,average,mixed,69.5
