age,gender,class_attendance,internet_access,facility_rating,exam_difficulty,exam_score
24,male,86.7,no,high,moderate,74.9
22,male,93.6,yes,medium,moderate,74.8
23,other,83.4,no,high,hard,74.8
23,male,55.7,yes,high,easy,74.8
24,other,48,yes,medium,moderate,74.5
20,male,97.5,yes,low,moderate,74.4
22,other,93.1,yes,low,easy,74.3
24,other,91.5,yes,low,moderate,74.3
17,other,63.2,yes,medium,hard,74.2
23,male,98.5,yes,high,hard,74.1
24,other,74.8,yes,high,moderate,74
19,male,70.6,yes,low,moderate,73.9
18,female,44.5,yes,high,moderate,73.7
21,male,50,yes,medium,easy,73.7
19,male,59.7,yes,low,moderate,73.6
21,other,80,yes,high,hard,73.6
19,other,65,yes,medium,easy,73.1
24,other,88.5,yes,medium,easy,73
23,female,68.9,no,low,easy,72.9
22,male,77.2,yes,high,moderate,72.7
23,other,88.4,yes,high,moderate,72.7
19,female,61.4,yes,low,easy,72.6
21,male,50.1,yes,high,moderate,72.6
21,male,91.6,yes,medium,moderate,72.5
21,male,50.3,yes,high,hard,72.4
20,male,65.7,yes,low,moderate,72.2
17,female,80.4,yes,low,moderate,72.2
17,female,92.7,yes,medium,moderate,72.2
23,female,61.7,yes,low,moderate,71.9
21,female,81,yes,medium,hard,71.9
17,female,68.2,yes,low,moderate,71.8
20,male,55.7,no,low,easy,71.6
24,female,96.2,yes,high,hard,71.5
17,male,58.5,yes,low,easy,71.4
24,female,64.7,yes,high,moderate,71.3
21,female,69.9,no,high,hard,71.1
23,male,87.1,yes,high,hard,71.1
18,male,92.5,yes,high,moderate,71
20,other,82.4,yes,low,easy,71
17,male,56.9,no,high,easy,70.9
23,other,61.4,yes,low,moderate,70.8
18,other,95,yes,medium,easy,70.7
23,female,52.8,yes,medium,easy,70.6
18,male,90.8,yes,low,hard,70.6
22,male,96.1,yes,high,easy,70.6
22,female,83.7,no,medium,moderate,70.5
18,male,94.9,yes,low,easy,70.5
21,male,91.9,yes,medium,moderate,70.3
20,other,69.8,yes,low,hard,70.3
21,male,55.1,yes,low,easy,70.2
17,male,78.1,yes,low,hard,70.1
21,other,55.3,yes,high,easy,69.9
19,other,75.1,yes,medium,moderate,69.9
18,female,51.2,yes,high,easy,69.9
19,other,40.8,yes,medium,hard,69.8
22,female,64.8,yes,low,moderate,69.7
