age,gender,course,study_hours,class_attendance,study_method,exam_difficulty,exam_score
22,female,b.tech,0.94,61.1,self-study,easy,21.4
20,female,b.tech,0.13,82.7,"online videos",hard,22.1
18,female,b.tech,0.19,48.9,"group study",easy,23.7
22,female,diploma,0.43,62.6,self-study,moderate,23.9
18,female,ba,0.39,87.3,coaching,moderate,25.5
23,female,bba,0.08,42.2,coaching,easy,26.4
21,female,diploma,0.08,94.8,coaching,moderate,26.5
22,female,b.sc,1.73,54.9,mixed,easy,27
22,female,b.com,1.35,43.6,coaching,moderate,28.3
22,female,b.sc,0.9,74.5,mixed,moderate,30.9
24,female,b.tech,0.61,46,"group study",moderate,31.4
24,female,b.com,2.85,48.4,mixed,moderate,32.1
23,female,bba,0.81,66,"online videos",moderate,34.1
23,female,bba,4.26,49.4,"group study",easy,34.3
21,female,b.com,1.61,48.4,self-study,moderate,34.3
24,female,b.tech,1.24,43.1,"online videos",easy,34.8
17,female,bba,1.21,45.6,"online videos",moderate,35.1
24,female,b.sc,2.37,47,"group study",moderate,35.4
21,female,bba,1.28,59.1,self-study,moderate,35.6
21,female,bba,1.91,40.6,coaching,easy,36.7
19,female,bca,2.17,79.6,self-study,hard,37
23,female,b.sc,0.12,43.2,"online videos",hard,37.3
24,female,bba,1.79,71.6,self-study,moderate,37.3
20,female,b.sc,1.17,62.7,mixed,moderate,39
23,female,b.com,2.22,42.8,"online videos",moderate,39.8
23,female,bca,3.44,55.8,mixed,moderate,40.8
19,female,ba,3.88,72.5,self-study,easy,41.8
18,female,b.sc,2.2,79.1,coaching,moderate,42.5
17,female,b.com,1.72,77.2,"group study",easy,43
20,female,diploma,0.89,71.6,coaching,moderate,43.7
20,female,b.tech,0.47,86.6,"online videos",moderate,45
21,female,bba,4.27,52.7,self-study,moderate,45.7
21,female,diploma,1.09,53.6,self-study,moderate,45.7
20,female,b.com,1.17,75.2,"online videos",easy,46.9
22,female,bca,5.42,70.2,coaching,moderate,47.8
17,female,diploma,1.35,99.4,"group study",moderate,48.1
20,female,b.sc,2.84,63.7,"group study",moderate,48.5
