age,gender,course,study_hours,class_attendance,study_method,exam_difficulty,exam_score
19,other,bca,0.08,50.9,mixed,moderate,19.599
24,other,bca,1.29,56,self-study,moderate,19.7
17,other,bba,0.15,75.5,self-study,easy,27.7
24,other,b.tech,0.11,71.4,"group study",easy,28
23,other,diploma,1.61,44.9,mixed,easy,29.2
20,other,diploma,0.67,48.4,"online videos",moderate,29.7
23,other,b.tech,0.7,63.5,mixed,moderate,31.3
22,other,diploma,1.23,50.1,coaching,moderate,31.4
24,other,ba,2.42,41.7,"online videos",moderate,31.7
19,other,b.sc,1.61,76,"group study",easy,32
22,other,b.com,0.6,55,"online videos",easy,33.6
18,other,b.com,0.81,61.2,self-study,hard,37.1
23,other,bca,2.46,70.4,mixed,hard,37.1
20,other,bca,0.57,74.1,self-study,moderate,38.1
22,other,bca,0.32,47.8,self-study,hard,38.1
17,other,diploma,1.5,49.7,"group study",easy,38.3
19,other,bca,2.1,68.3,"online videos",hard,38.8
17,other,diploma,2.64,58.1,self-study,moderate,39.5
24,other,diploma,3.47,81.2,"group study",moderate,39.6
20,other,ba,1.75,86.7,"online videos",moderate,39.9
21,other,bba,2.45,76.1,self-study,easy,40.7
20,other,diploma,0.08,67.7,"online videos",easy,40.8
21,other,diploma,1.6,54,coaching,hard,41
17,other,b.com,1.88,52.8,mixed,hard,41.1
20,other,b.tech,0.4,57.2,mixed,easy,42.3
17,other,b.sc,0.75,72,"group study",moderate,42.8
18,other,b.sc,0.95,49.2,"group study",hard,43.2
24,other,bca,1.51,59.3,mixed,easy,44.3
22,other,bca,2.96,89.2,self-study,easy,44.4
18,other,bca,2.89,92,self-study,easy,44.9
18,other,diploma,3.76,51.4,self-study,moderate,45
18,other,ba,0.19,72,self-study,moderate,45.3
24,other,b.sc,0.9,44.9,self-study,moderate,45.4
17,other,b.tech,1.54,52.5,mixed,moderate,45.5
20,other,diploma,3.36,55.9,self-study,easy,45.6
18,other,b.sc,0.28,40.9,self-study,easy,46
21,other,b.com,2.54,46.7,coaching,moderate,48.3
22,other,diploma,2.69,93.6,coaching,moderate,49
21,other,bca,2.96,48.5,coaching,moderate,49
20,other,b.tech,6.94,67.8,"group study",moderate,49.2
22,other,b.tech,3.25,74.8,coaching,easy,49.5
19,other,diploma,0.68,64.3,mixed,moderate,49.9
20,other,b.tech,4.17,47.7,"online videos",moderate,49.9
