age,gender,class_attendance,internet_access,facility_rating,exam_difficulty,exam_score
19,other,50.9,yes,low,moderate,19.599
17,male,65.6,yes,medium,moderate,19.599
19,male,44,yes,low,easy,19.599
18,male,63.4,no,low,easy,19.599
17,male,42.1,yes,low,easy,19.599
24,other,56,yes,high,moderate,19.7
18,male,57.4,no,medium,easy,19.8
22,female,61.1,yes,medium,easy,21.4
20,female,82.7,yes,high,hard,22.1
17,male,58.2,yes,low,hard,22.9
23,male,41.6,no,medium,easy,23.5
18,female,48.9,yes,medium,easy,23.7
22,female,62.6,yes,low,moderate,23.9
18,female,87.3,yes,low,moderate,25.5
23,female,42.2,no,high,easy,26.4
21,female,94.8,yes,high,moderate,26.5
19,male,82.4,yes,high,moderate,26.7
22,female,54.9,yes,low,easy,27
18,male,47.3,yes,low,hard,27.2
17,male,77,yes,low,moderate,27.6
17,other,75.5,yes,low,easy,27.7
24,other,71.4,yes,medium,easy,28
22,female,43.6,yes,medium,moderate,28.3
23,male,51.4,yes,low,moderate,28.3
23,other,44.9,yes,high,easy,29.2
20,other,48.4,yes,low,moderate,29.7
21,male,53,no,medium,moderate,30.3
22,female,74.5,yes,high,moderate,30.9
23,other,63.5,yes,low,moderate,31.3
22,other,50.1,yes,low,moderate,31.4
24,female,46,yes,medium,moderate,31.4
24,other,41.7,yes,high,moderate,31.7
22,male,78.6,yes,low,easy,31.9
24,male,95,yes,medium,moderate,32
19,other,76,yes,high,easy,32
24,female,48.4,yes,low,moderate,32.1
24,male,68,no,medium,moderate,32.1
18,male,64.9,yes,medium,moderate,32.3
22,other,55,yes,high,easy,33.6
23,female,66,yes,medium,moderate,34.1
23,female,49.4,yes,medium,easy,34.3
21,female,48.4,yes,high,moderate,34.3
24,female,43.1,yes,medium,easy,34.8
17,female,45.6,yes,medium,moderate,35.1
24,female,47,yes,medium,moderate,35.4
19,male,52,yes,medium,moderate,35.5
21,female,59.1,yes,low,moderate,35.6
24,male,91.7,yes,medium,moderate,36.3
18,male,74,yes,medium,easy,36.6
21,female,40.6,yes,low,easy,36.7
19,female,79.6,yes,low,hard,37
18,other,61.2,yes,medium,hard,37.1
23,other,70.4,yes,low,hard,37.1
23,female,43.2,no,medium,hard,37.3
24,female,71.6,yes,medium,moderate,37.3
22,male,55.4,no,medium,moderate,37.6
20,male,40.6,no,high,moderate,37.8
19,male,47.7,yes,low,hard,37.9
20,other,74.1,yes,low,moderate,38.1
22,other,47.8,yes,low,hard,38.1
17,other,49.7,yes,high,easy,38.3
18,male,50.4,yes,medium,hard,38.8
19,other,68.3,yes,low,hard,38.8
24,male,44.5,no,high,hard,38.9
20,female,62.7,yes,high,moderate,39
17,other,58.1,yes,low,moderate,39.5
24,other,81.2,no,low,moderate,39.6
22,male,56.4,yes,low,easy,39.7
23,female,42.8,yes,high,moderate,39.8
20,other,86.7,no,medium,moderate,39.9
22,male,57.4,yes,medium,moderate,40
19,male,56.5,yes,low,moderate,40.2
21,other,76.1,yes,high,easy,40.7
20,other,67.7,yes,medium,easy,40.8
23,female,55.8,yes,medium,moderate,40.8
21,other,54,yes,low,hard,41
17,other,52.8,yes,low,hard,41.1
19,female,72.5,no,medium,easy,41.8
20,other,57.2,yes,low,easy,42.3
18,female,79.1,no,low,moderate,42.5
17,other,72,yes,medium,moderate,42.8
19,male,65.5,yes,high,moderate,42.9
17,female,77.2,yes,medium,easy,43
18,other,49.2,yes,medium,hard,43.2
20,female,71.6,yes,low,moderate,43.7
24,other,59.3,yes,medium,easy,44.3
22,male,75.9,yes,high,hard,44.3
22,other,89.2,yes,medium,easy,44.4
24,male,86.1,yes,medium,hard,44.7
18,other,92,yes,low,easy,44.9
20,female,86.6,yes,high,moderate,45
18,other,51.4,yes,medium,moderate,45
18,other,72,yes,high,moderate,45.3
24,other,44.9,yes,medium,moderate,45.4
17,other,52.5,yes,medium,moderate,45.5
20,other,55.9,yes,medium,easy,45.6
21,female,52.7,yes,medium,moderate,45.7
17,male,64.7,yes,low,moderate,45.7
21,female,53.6,yes,medium,moderate,45.7
18,other,40.9,no,high,easy,46
21,male,85.1,yes,low,moderate,46.2
20,female,75.2,no,high,easy,46.9
18,male,86.8,yes,medium,easy,47.1
17,male,63.9,yes,high,easy,47.2
22,male,51.1,yes,low,moderate,47.3
19,male,60,yes,high,moderate,47.4
18,male,58.1,yes,low,easy,47.4
22,male,88.6,yes,low,moderate,47.4
22,female,70.2,yes,medium,moderate,47.8
17,female,99.4,yes,high,moderate,48.1
21,other,46.7,yes,medium,moderate,48.3
20,female,63.7,yes,low,moderate,48.5
24,male,79.2,no,low,easy,49
17,male,64.6,no,medium,moderate,49
22,other,93.6,no,medium,moderate,49
21,other,48.5,yes,medium,moderate,49
18,male,65.4,yes,low,moderate,49.1
20,other,67.8,yes,medium,moderate,49.2
20,male,59.9,yes,high,moderate,49.3
22,other,74.8,yes,high,easy,49.5
18,male,47.2,yes,high,moderate,49.7
19,other,64.3,yes,low,moderate,49.9
20,other,47.7,yes,medium,moderate,49.9
