course,exam_score,exam_difficulty,count(*)
bca,19.599,moderate,1
ba,19.599,moderate,1
b.tech,19.599,easy,1
diploma,19.599,easy,1
b.sc,19.599,easy,1
bca,19.7,moderate,1
b.tech,19.8,easy,1
b.tech,21.4,easy,1
b.tech,22.1,hard,1
b.tech,22.9,hard,1
bba,23.5,easy,1
b.tech,23.7,easy,1
diploma,23.9,moderate,1
ba,25.5,moderate,1
bba,26.4,easy,1
diploma,26.5,moderate,1
diploma,26.7,moderate,1
b.sc,27,easy,1
b.tech,27.2,hard,1
b.tech,27.6,moderate,1
bba,27.7,easy,1
b.tech,28,easy,1
b.com,28.3,moderate,1
bca,28.3,moderate,1
diploma,29.2,easy,1
diploma,29.7,moderate,1
bca,30.3,moderate,1
b.sc,30.9,moderate,1
b.tech,31.3,moderate,1
diploma,31.4,moderate,1
b.tech,31.4,moderate,1
ba,31.7,moderate,1
b.sc,31.9,easy,1
bca,32,moderate,1
b.sc,32,easy,1
b.com,32.1,moderate,1
bca,32.1,moderate,1
bca,32.3,moderate,1
b.com,33.6,easy,1
bba,34.1,moderate,1
bba,34.3,easy,1
b.com,34.3,moderate,1
b.tech,34.8,easy,1
bba,35.1,moderate,1
b.sc,35.4,moderate,1
bca,35.5,moderate,1
bba,35.6,moderate,1
b.com,36.3,moderate,1
b.tech,36.6,easy,1
bba,36.7,easy,1
bca,37,hard,1
b.com,37.1,hard,1
bca,37.1,hard,1
b.sc,37.3,hard,1
bba,37.3,moderate,1
bca,37.6,moderate,1
bba,37.8,moderate,1
b.com,37.9,hard,1
bca,38.1,moderate,1
bca,38.1,hard,1
diploma,38.3,easy,1
bba,38.8,hard,1
bca,38.8,hard,1
b.com,38.9,hard,1
b.sc,39,moderate,1
diploma,39.5,moderate,1
diploma,39.6,moderate,1
b.com,39.7,easy,1
b.com,39.8,moderate,1
ba,39.9,moderate,1
diploma,40,moderate,1
b.tech,40.2,moderate,1
bba,40.7,easy,1
diploma,40.8,easy,1
bca,40.8,moderate,1
diploma,41,hard,1
b.com,41.1,hard,1
ba,41.8,easy,1
b.tech,42.3,easy,1
b.sc,42.5,moderate,1
b.sc,42.8,moderate,1
b.sc,42.9,moderate,1
b.com,43,easy,1
b.sc,43.2,hard,1
diploma,43.7,moderate,1
bca,44.3,easy,1
b.sc,44.3,hard,1
bca,44.4,easy,1
b.com,44.7,hard,1
bca,44.9,easy,1
b.tech,45,moderate,1
diploma,45,moderate,1
ba,45.3,moderate,1
b.sc,45.4,moderate,1
b.tech,45.5,moderate,1
diploma,45.6,easy,1
bba,45.7,moderate,1
bca,45.7,moderate,1
diploma,45.7,moderate,1
b.sc,46,easy,1
b.com,46.2,moderate,1
b.com,46.9,easy,1
ba,47.1,easy,1
b.sc,47.2,easy,1
b.sc,47.3,moderate,1
b.tech,47.4,moderate,1
b.com,47.4,easy,1
ba,47.4,moderate,1
bca,47.8,moderate,1
diploma,48.1,moderate,1
b.com,48.3,moderate,1
b.sc,48.5,moderate,1
diploma,49,easy,1
ba,49,moderate,1
diploma,49,moderate,1
bca,49,moderate,1
diploma,49.1,moderate,1
b.tech,49.2,moderate,1
b.tech,49.3,moderate,1
b.tech,49.5,easy,1
ba,49.7,moderate,1
diploma,49.9,moderate,1
b.tech,49.9,moderate,1
