course,exam_score,count(*)
b.sc,100,2
ba,100,2
b.tech,100,2
bca,100,2
diploma,100,1
b.com,100,3
bba,100,2
diploma,99.3,1
bba,98.5,1
bba,97.9,1
b.tech,97.5,1
bba,97.5,1
bba,97.1,1
ba,96.4,1
b.sc,96.3,1
b.tech,96.1,1
bba,96,1
b.com,95.6,1
diploma,95.5,1
b.sc,95.2,1
ba,93.8,1
bca,93.8,1
diploma,93.1,1
ba,92.2,1
b.tech,92.1,1
b.tech,92,1
ba,91.6,1
b.tech,91.3,1
bca,90.9,1
ba,90.7,1
ba,90.6,1
bba,90.6,1
b.sc,90.3,1
bca,90,1
b.tech,89.4,1
b.com,89,1
b.com,88.7,1
bba,88.5,1
bba,88.2,1
bba,87.8,1
bca,87.2,1
b.sc,87.2,1
diploma,87,1
bba,86.9,1
b.tech,86.3,1
diploma,86.2,1
bca,86.2,1
diploma,85.9,1
bba,85.5,1
b.sc,85.2,1
b.tech,84.9,1
diploma,84.8,1
ba,84.8,1
diploma,84.6,1
b.tech,84.5,1
b.com,84.4,1
b.com,84.3,1
b.sc,84,1
b.sc,83.7,1
b.tech,83.5,1
diploma,83.5,1
bba,83.4,1
b.sc,83.3,1
bca,83.3,1
bba,83.1,1
b.sc,82.8,1
bba,82.6,1
ba,82.5,1
bba,82.3,1
b.sc,81.8,1
b.com,81.7,1
bca,81.6,1
diploma,81.5,1
ba,81.5,1
b.com,81.3,1
bba,81,1
b.tech,80.9,1
b.com,80.7,2
b.com,80.3,1
bba,80.2,1
ba,80.1,1
ba,80,1
bca,79.9,1
ba,79.8,1
b.tech,79.6,1
bca,79.6,1
b.com,79.5,1
bca,79.4,1
ba,79.1,1
b.com,78.8,1
bba,78.7,1
b.com,78.6,1
b.com,78.3,1
b.tech,78.2,1
diploma,78.1,2
diploma,78,1
bba,77.8,1
ba,77.8,1
bba,77.7,1
diploma,77.6,1
bca,77.2,1
b.tech,77,1
b.sc,76.9,1
bca,76.9,1
b.com,76.8,1
b.sc,76.6,1
b.com,76.4,1
b.com,76.3,1
bba,76.3,1
diploma,76.3,1
b.tech,76.3,1
b.tech,76.1,1
bba,76,1
bca,75.9,1
b.sc,75.7,1
diploma,75.6,1
b.sc,75.5,1
b.com,75.5,1
bca,75.4,1
bca,75.3,1
bba,74.9,1
b.com,74.8,2
bca,74.8,1
b.tech,74.5,1
diploma,74.4,1
bca,74.3,1
ba,74.3,1
b.sc,74.2,1
ba,74.1,1
b.tech,74,1
diploma,73.9,1
bca,73.7,1
b.sc,73.7,1
b.com,73.6,2
b.sc,73.1,1
b.tech,73,1
ba,72.9,1
bba,72.7,1
b.tech,72.7,1
b.com,72.6,2
bca,72.5,1
ba,72.4,1
b.tech,72.2,1
bca,72.2,1
bba,72.2,1
diploma,71.9,1
ba,71.9,1
b.sc,71.8,1
bca,71.6,1
bba,71.5,1
bca,71.4,1
bba,71.3,1
ba,71.1,1
b.tech,71.1,1
bba,71,1
b.com,71,1
b.tech,70.9,1
diploma,70.8,1
b.com,70.7,1
b.com,70.6,2
ba,70.6,1
b.sc,70.5,1
diploma,70.5,1
b.sc,70.3,1
b.com,70.3,1
bca,70.2,1
b.com,70.1,1
ba,69.9,1
bba,69.9,1
diploma,69.9,1
diploma,69.8,1
bca,69.7,1
b.com,69.6,1
diploma,69.6,1
bba,69.5,2
b.sc,69.5,1
diploma,69.4,1
b.com,69.4,1
b.sc,69.1,1
bba,69.1,1
bba,68.9,1
b.sc,68.8,1
ba,68.6,1
b.sc,68.4,1
bca,68.4,1
ba,68.1,1
bca,68.1,1
b.tech,67.9,2
diploma,67.9,1
b.sc,67.7,1
diploma,67.6,2
bca,67.6,1
ba,67.4,1
b.sc,67.2,1
diploma,67.1,1
bca,67,1
bba,67,1
diploma,67,1
b.sc,67,1
bba,66.9,1
b.com,66.9,1
diploma,66.8,1
b.com,66.7,1
bba,66.7,1
b.com,66.6,1
b.tech,66.6,1
b.com,66.5,1
b.sc,66.3,1
bba,66.1,1
b.tech,66.1,1
bba,65.9,1
bca,65.9,1
b.tech,65.9,1
bba,65.8,2
bca,65.8,1
b.tech,65.8,1
bca,65.6,1
bba,65.6,1
bca,65.4,1
bba,65.4,1
b.tech,65.3,1
bca,65,1
b.tech,64.9,1
bba,64.9,1
b.sc,64.7,1
bca,64.7,2
b.com,64.6,1
diploma,64.6,1
b.com,64,1
ba,63.9,1
bca,63.9,1
b.sc,63.8,1
ba,63.8,1
ba,63.5,1
ba,63.2,1
diploma,62.8,1
b.tech,62.7,1
bba,62.6,1
bca,62.6,1
diploma,62.4,1
bca,62.2,1
b.sc,62.1,1
b.sc,62,1
b.com,62,1
bba,61.9,1
bca,61.9,1
b.com,61.6,1
b.sc,61.6,1
diploma,61.6,1
ba,61.5,1
b.sc,61.4,1
bca,61.3,1
bca,61.2,1
bca,61.1,1
b.sc,61,1
diploma,60.9,1
bba,60.8,1
bca,60.8,1
bca,60.5,1
b.tech,60.4,1
b.sc,60.4,1
ba,60.3,1
bca,60.2,1
b.com,59.9,1
b.tech,59.8,1
ba,59.7,1
bba,59.6,1
b.com,59.5,1
bba,59.4,1
ba,59.2,1
bca,59.1,1
b.tech,59.1,1
b.com,59,1
diploma,58.9,1
b.tech,58.9,1
bba,58.3,1
b.tech,58.2,1
ba,58.2,1
bba,57.9,1
bca,57.8,1
b.com,57.7,1
ba,57.6,1
b.sc,57.6,1
bca,57.5,1
b.com,57.5,1
b.tech,57.4,1
b.com,57.3,1
bca,57.3,1
bca,57.2,1
b.tech,57.2,1
bba,57.2,1
bba,57,1
b.tech,57,1
bca,57,1
b.tech,56.9,1
b.sc,56.6,1
bca,56.6,1
ba,56.6,1
b.com,56.6,1
b.tech,56.5,1
bca,56.4,1
diploma,56.4,1
b.sc,56.2,1
diploma,56.1,1
diploma,55.9,1
b.com,55.9,1
bca,55.9,1
b.sc,55.4,1
diploma,55.4,1
bca,55.2,1
b.com,55,1
bca,54.8,1
ba,54.6,1
b.tech,54.5,2
b.sc,54.4,1
bba,54.3,1
b.com,54,1
diploma,54,2
b.tech,53.7,1
b.com,53.7,1
b.sc,53.6,1
b.tech,53.6,1
b.com,53.5,2
b.tech,53.5,1
diploma,53.3,1
bca,53.3,1
diploma,53.2,1
b.sc,53.2,1
b.tech,53.1,1
b.sc,53.1,1
bba,52.8,1
b.tech,52.8,1
ba,52.6,1
bca,52.4,1
bca,52.3,1
diploma,52.2,2
ba,52.1,1
b.com,52.1,1
bca,52,1
b.tech,51.9,1
bba,51.8,1
diploma,51.5,1
bba,51.3,1
bca,51.3,1
bca,51.1,1
diploma,51,1
b.tech,50.8,1
bca,50.7,1
bca,50.6,1
ba,50.6,1
bba,50.5,1
b.com,50.4,1
ba,50.4,1
bca,50.3,1
bba,50.1,1
