course,exam_score,count(*)
bca,19.599,1
ba,19.599,1
b.tech,19.599,1
diploma,19.599,1
b.sc,19.599,1
bca,19.7,1
b.tech,19.8,1
b.tech,21.4,1
b.tech,22.1,1
b.tech,22.9,1
bba,23.5,1
b.tech,23.7,1
diploma,23.9,1
ba,25.5,1
bba,26.4,1
diploma,26.5,1
diploma,26.7,1
b.sc,27,1
b.tech,27.2,1
b.tech,27.6,1
bba,27.7,1
b.tech,28,1
b.com,28.3,1
bca,28.3,1
diploma,29.2,1
diploma,29.7,1
bca,30.3,1
b.sc,30.9,1
b.tech,31.3,1
diploma,31.4,1
b.tech,31.4,1
ba,31.7,1
b.sc,31.9,1
bca,32,1
b.sc,32,1
b.com,32.1,1
bca,32.1,1
bca,32.3,1
b.com,33.6,1
bba,34.1,1
bba,34.3,1
b.com,34.3,1
b.tech,34.8,1
bba,35.1,1
b.sc,35.4,1
bca,35.5,1
bba,35.6,1
b.com,36.3,1
b.tech,36.6,1
bba,36.7,1
bca,37,1
b.com,37.1,1
bca,37.1,1
b.sc,37.3,1
bba,37.3,1
bca,37.6,1
bba,37.8,1
b.com,37.9,1
bca,38.1,2
diploma,38.3,1
bba,38.8,1
bca,38.8,1
b.com,38.9,1
b.sc,39,1
diploma,39.5,1
diploma,39.6,1
b.com,39.7,1
b.com,39.8,1
ba,39.9,1
diploma,40,1
b.tech,40.2,1
bba,40.7,1
diploma,40.8,1
bca,40.8,1
diploma,41,1
b.com,41.1,1
ba,41.8,1
b.tech,42.3,1
b.sc,42.5,1
b.sc,42.8,1
b.sc,42.9,1
b.com,43,1
b.sc,43.2,1
diploma,43.7,1
bca,44.3,1
b.sc,44.3,1
bca,44.4,1
b.com,44.7,1
bca,44.9,1
b.tech,45,1
diploma,45,1
ba,45.3,1
b.sc,45.4,1
b.tech,45.5,1
diploma,45.6,1
bba,45.7,1
bca,45.7,1
diploma,45.7,1
b.sc,46,1
b.com,46.2,1
b.com,46.9,1
ba,47.1,1
b.sc,47.2,1
b.sc,47.3,1
b.tech,47.4,1
b.com,47.4,1
ba,47.4,1
bca,47.8,1
diploma,48.1,1
b.com,48.3,1
b.sc,48.5,1
diploma,49,2
ba,49,1
bca,49,1
diploma,49.1,1
b.tech,49.2,1
b.tech,49.3,1
b.tech,49.5,1
ba,49.7,1
diploma,49.9,1
b.tech,49.9,1
