age,gender,course,study_hours,class_attendance,study_method,exam_difficulty,exam_score
18,female,bca,2.64,44.5,coaching,moderate,73.7
23,female,ba,5.73,68.9,"online videos",easy,72.9
19,female,b.com,4.49,61.4,coaching,easy,72.6
17,female,bba,3.95,92.7,self-study,moderate,72.2
17,female,bca,4.26,80.4,"online videos",moderate,72.2
23,female,diploma,5.25,61.7,coaching,moderate,71.9
21,female,ba,5.99,81,"group study",hard,71.9
17,female,b.sc,7.11,68.2,self-study,moderate,71.8
24,female,bba,5.24,96.2,"online videos",hard,71.5
24,female,bba,4.92,64.7,"group study",moderate,71.3
21,female,ba,3.95,69.9,"online videos",hard,71.1
23,female,b.com,4.51,52.8,"group study",easy,70.6
22,female,b.sc,2.45,83.7,self-study,moderate,70.5
18,female,diploma,4.81,51.2,mixed,easy,69.9
22,female,bca,6.05,64.8,"group study",moderate,69.7
23,female,bba,4.11,70.7,"group study",easy,69.1
19,female,b.sc,5.96,83.5,self-study,moderate,69.1
23,female,bca,5.5,72,coaching,moderate,68.1
21,female,ba,5.23,60.4,coaching,easy,68.1
19,female,b.tech,3.67,71.2,mixed,easy,67.9
21,female,bca,0.92,96.5,"online videos",easy,67.6
22,female,ba,5.74,96.6,self-study,moderate,67.4
23,female,bba,4.11,49.2,"group study",easy,67
20,female,diploma,4.37,78.7,"online videos",easy,67
24,female,bca,5.46,48.8,mixed,hard,67
19,female,diploma,5.23,55.5,coaching,moderate,66.8
19,female,bba,4.72,62.3,coaching,easy,66.7
19,female,b.sc,6.68,44.6,"group study",moderate,66.3
23,female,bba,2.72,47.4,"online videos",hard,66.1
19,female,b.tech,5.23,54.5,"online videos",easy,66.1
22,female,b.tech,1.82,62.7,self-study,moderate,65.9
21,female,bca,4.9,87.8,"group study",easy,65.9
20,female,bca,3.68,73.1,"online videos",easy,65.8
23,female,bba,5.5,59.3,self-study,hard,65.8
24,female,bca,3.66,60.8,"online videos",easy,65.4
19,female,b.tech,5.04,69.8,self-study,easy,65.3
20,female,bca,1.91,97.2,self-study,easy,64.7
23,female,diploma,4.13,72.7,mixed,moderate,64.6
19,female,b.com,3.98,53.8,mixed,easy,64
22,female,ba,6.76,46.4,self-study,hard,63.9
20,female,ba,1,75,"group study",moderate,63.5
21,female,ba,5.99,86.9,self-study,easy,63.2
17,female,bba,3.97,86.7,"group study",moderate,62.6
24,female,bba,4.53,58,coaching,moderate,61.9
17,female,b.sc,0.8,96.2,"group study",moderate,61.6
23,female,b.sc,4.96,68,self-study,easy,61.4
24,female,ba,0.62,97.3,"group study",easy,60.3
22,female,b.com,4.76,57,coaching,moderate,59.9
23,female,b.tech,5.8,56.1,mixed,moderate,59.8
19,female,bca,1.08,74.1,"group study",hard,59.1
19,female,b.tech,2.94,67.3,coaching,easy,58.9
20,female,ba,3.79,54.8,"group study",easy,58.2
19,female,bba,1.02,99.4,"online videos",moderate,57.9
18,female,b.com,2.12,80.7,self-study,easy,57.7
18,female,b.sc,7.02,59.4,mixed,moderate,57.6
22,female,b.tech,0.8,57.4,"group study",moderate,57.4
24,female,b.tech,2.69,92.6,mixed,moderate,57.2
24,female,bca,4.26,46.1,"online videos",moderate,57.2
20,female,b.tech,2.03,90.1,mixed,moderate,57
21,female,b.sc,2.72,79.4,"online videos",moderate,56.6
20,female,b.tech,2.98,62.7,self-study,hard,56.5
18,female,diploma,1.83,58.4,self-study,easy,56.4
23,female,b.sc,4.28,98.1,mixed,moderate,56.2
22,female,b.com,1.33,92.7,"online videos",easy,55.9
17,female,b.com,1.91,93.5,coaching,easy,55
17,female,ba,3.1,92.4,mixed,easy,54.6
18,female,b.tech,6.61,55.7,"online videos",easy,54.5
20,female,bba,1.87,78.4,"group study",moderate,54.3
17,female,diploma,5.24,51.6,"group study",moderate,54
17,female,b.tech,1.35,69,"online videos",hard,53.7
18,female,b.tech,5.67,68.7,self-study,easy,53.6
17,female,b.com,1.67,64.1,self-study,moderate,53.5
20,female,b.tech,0.45,75.5,"online videos",easy,53.5
23,female,diploma,3.04,65.2,coaching,moderate,53.2
20,female,b.sc,2.42,91.7,mixed,moderate,53.2
18,female,bba,0.49,93.2,self-study,easy,52.8
17,female,diploma,0.15,75.5,mixed,moderate,52.2
21,female,b.com,3.21,76.9,"group study",hard,52.1
21,female,bba,0.98,85.9,coaching,easy,51.8
17,female,bca,0.98,92.2,"group study",hard,51.3
22,female,bba,2.44,72.8,"group study",easy,51.3
17,female,diploma,2.06,95.2,coaching,moderate,51
21,female,bca,6.36,49.6,"group study",easy,50.7
17,female,ba,2.48,62.5,coaching,easy,50.6
24,female,bba,4.21,59,self-study,moderate,50.5
22,female,bca,6.11,47,self-study,moderate,50.3
23,female,bba,2.94,81.6,self-study,moderate,50.1
